Name,Sex,Age,Height,Weight,Team,Year,Season,City,Sport,Event,Medal
Nadia Elena Comneci (-Conner),F,18,162,45,Romania,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Individual All-Around,Silver
Nadia Elena Comneci (-Conner),F,18,162,45,Romania,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Team All-Around,Silver
Mariana Constantin,F,15,160,46,Romania,1976,Summer,Montreal,Gymnastics,Gymnastics Women's Team All-Around,Silver
Adrian Cosma,M,26,180,78,Romania,1976,Summer,Montreal,Handball,Handball Men's Handball,Silver
Serghei Covaliov,M,27,172,75,Romania,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
Simion Cuov,M,24,175,60,Romania,1976,Summer,Montreal,Boxing,Boxing Men's Lightweight,Silver
Aurora Dan (-Criu),F,28,165,52,Romania,1984,Summer,Los Angeles,Fencing,"Fencing Women's Foil, Team",Silver
Gheorghe Danielov,M,28,175,78,Romania,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
Camelia Diaconescu,F,21,178,80,Romania,1984,Summer,Los Angeles,Rowing,Rowing Women's Coxed Eights,Silver
Vasile Dba,M,25,182,86,Romania,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Aurelia Dobre (-Mofid),F,15,146,42,Romania,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Silver
Dnu Dobre,M,21,192,85,Romania,1988,Summer,Seoul,Rowing,Rowing Men's Coxless Pairs,Silver
Dnu Dobre,M,25,192,85,Romania,1992,Summer,Barcelona,Rowing,Rowing Men's Coxed Eights,Silver
Mircea Dobrescu,M,26,150,51,Romania,1956,Summer,Melbourne,Boxing,Boxing Men's Flyweight,Silver
Tiberiu Alexandru Dolniceanu,M,24,179,79,Romania,2012,Summer,London,Fencing,"Fencing Men's Sabre, Team",Silver
Cezar Drgni,M,22,188,85,Romania,1976,Summer,Montreal,Handball,Handball Men's Handball,Silver
Marian Drgulescu,M,23,163,64,Romania,2004,Summer,Athina,Gymnastics,Gymnastics Men's Floor Exercise,Silver
Daniel Dumitrescu,M,19,171,58,Romania,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,Silver
Rare Dumitrescu,M,28,192,84,Romania,2012,Summer,London,Fencing,"Fencing Men's Sabre, Team",Silver
Alina Alexandra Dumitru (-Croitoru),F,29,158,48,Romania,2012,Summer,London,Judo,Judo Women's Extra-Lightweight,Silver
Petre Dumitru,M,26,173,90,Romania,1984,Summer,Los Angeles,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
Rodica Dunca (-Kszegi),F,15,158,43,Romania,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Team All-Around,Silver
Gertrd Emilia Eberle (-Kollar),F,16,153,40,Romania,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Team All-Around,Silver
Gertrd Emilia Eberle (-Kollar),F,16,153,40,Romania,1980,Summer,Moskva,Gymnastics,Gymnastics Women's Uneven Bars,Silver
Nicuor Eanu,M,25,185,84,Romania,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Carlos Deltour,M,36,,,Rowing Club Castillon-3,1900,Summer,Paris,Rowing,Rowing Men's Coxed Pairs,Bronze
Prospre Bruggeman,M,27,,,Royal Club Nautique de Gand,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Silver
Jules Maria Adolphe Henri De Bisschop,M,21,,,Royal Club Nautique de Gand,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Silver
Oscar De Cock,M,,,,Royal Club Nautique de Gand,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Silver
Oscar Charles de Somville,M,23,,78,Royal Club Nautique de Gand,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Silver
Oscar Charles de Somville,M,31,,78,Royal Club Nautique de Gand,1908,Summer,London,Rowing,Rowing Men's Coxed Eights,Silver
Denis Mikhaylovich Ablyazin,M,19,161,62,Russia,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze
Pavel Sergeyevich Abramov,M,25,198,89,Russia,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Bronze
Yekaterina Konstantinovna Abramova,F,23,167,65,Russia,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
Svetlana Olegovna Abrosimova,F,28,188,77,Russia,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze
Maksim Sergeyevich Afinogenov,M,22,183,88,Russia,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Albina Khamitovna Akhatova,F,25,160,55,Russia,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
Albina Khamitovna Akhatova,F,29,160,55,Russia,2006,Winter,Torino,Biathlon,Biathlon Women's 10 kilometres Pursuit,Bronze
Albina Khamitovna Akhatova,F,29,160,55,Russia,2006,Winter,Torino,Biathlon,Biathlon Women's 15 kilometres,Bronze
Khadzhimurat Magomedovich Akkayev,M,23,178,105,Russia,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
Marina Dazmirovna Akobiya,F,25,165,57,Russia,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Bronze
Nikolay Aleksandrovich Aksyonov,M,26,201,100,Russia,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,Bronze
Ruslan Vladimirovich Albegov,M,24,192,156,Russia,2012,Summer,London,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
Yevgeny Vasilyevich Aleynikov,M,33,181,88,Russia,2000,Summer,Sydney,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
Sergey Gennadyevich Alifirenko,M,45,168,72,Russia,2004,Summer,Athina,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze
Aleksey Aleksandrovich Alipov,M,32,175,80,Russia,2008,Summer,Beijing,Shooting,Shooting Men's Trap,Bronze
"Mikhail Surenovich ""Misha"" Aloyan",M,23,164,52,Russia,2012,Summer,London,Boxing,Boxing Men's Flyweight,Bronze
Maksim Nikolayevich Alyoshin,M,21,166,63,Russia,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Ivan Vladimirovich Alypov,M,23,169,60,Russia,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's Team Sprint,Bronze
Viktor An,M,28,170,65,Russia,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 1,500 metres",Bronze
Vladimir Vasilyevich Andreyev,M,34,170,58,Russia,2000,Summer,Sydney,Athletics,Athletics Men's 20 kilometres Walk,Bronze
Yekaterina Yevgenyevna Anikeyeva,F,31,178,63,Russia,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,Bronze
Roman Sergeyevich Anoshkin,M,28,192,95,Russia,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Bronze
Semyon Sergeyevich Antonov,M,23,202,97,Russia,2012,Summer,London,Basketball,Basketball Men's Basketball,Bronze
Nataliya Nikolayevna Antyukh,F,23,182,69,Russia,2004,Summer,Athina,Athletics,Athletics Women's 400 metres,Bronze
Anna Valeryevna Arkhipova,F,31,176,63,Russia,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Bronze
Olga Dmitriyevna Arteshina,F,21,191,78,Russia,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Bronze
David Valeryevich Ayrapetyan,M,28,158,49,Russia,2012,Summer,London,Boxing,Boxing Men's Light-Flyweight,Bronze
Karina Borisovna Aznavuryan,F,21,170,59,Russia,1996,Summer,Atlanta,Fencing,"Fencing Women's epee, Team",Bronze
Bair Dorzhiyevich Badyonov,M,32,178,75,Russia,2008,Summer,Beijing,Archery,Archery Men's Individual,Bronze
Georgiy Ruslanovich Balakshin,M,28,161,51,Russia,2008,Summer,Beijing,Boxing,Boxing Men's Flyweight,Bronze
Roman Vladimirovich Balashov,M,27,192,96,Russia,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Bronze
Sergey Andreyevich Baranov,M,23,208,94,Russia,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Bronze
Yelena Viktorovna Baranova,F,32,192,80,Russia,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Bronze
Varvara Borisovna Barysheva,F,28,168,62,Russia,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
Anastasiya Vladimirovna Baryshnikova,F,21,173,67,Russia,2012,Summer,London,Taekwondo,Taekwondo Women's Heavyweight,Bronze
Olga Konstantinovna Belova-Gorbunova,F,22,169,60,Russia,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Bronze
Anastasiya Yevgenyevna Belyakova,F,23,173,60,Russia,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Lightweight,Bronze
David Sagitovich Belyavsky,M,24,165,55,Russia,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
Yury Viktorovich Berezhko,M,24,198,97,Russia,2008,Summer,Beijing,Volleyball,Volleyball Men's Volleyball,Bronze
"Haralds Karl Adolf ""Harry"" Blaus",M,27,,,Russia,1912,Summer,Stockholm,Shooting,Shooting Men's Trap,Bronze
Yevgeniya Aleksandrovna Bochkaryova,F,16,160,40,Russia,1996,Summer,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
Aleksey Petrovich Bondarenko,M,22,160,58,Russia,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Mariya Olegovna Borisova,F,19,184,95,Russia,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Bronze
Yekaterina Borisovna Bukina,F,29,174,75,Russia,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Bronze
Pavel Vladimirovich Bure,M,30,180,86,Russia,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Valery Vladimirovich Bure,M,27,176,84,Russia,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Daniil Sergeyevich Burkenya,M,26,198,85,Russia,2004,Summer,Athina,Athletics,Athletics Men's Triple Jump,Bronze
Andrey Ivanovich Chemerkin,M,28,183,170,Russia,2000,Summer,Sydney,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
Yuliya Anatolyevna Chepalova,F,25,164,54,Russia,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,Bronze
Ivan Yuryevich Cherezov,M,29,173,73,Russia,2010,Winter,Vancouver,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
Anton Viktorovich Chermashentsev,M,20,192,95,Russia,1996,Summer,Atlanta,Rowing,Rowing Men's Coxed Eights,Bronze
Ilya Grigoryevich Chernousov,M,27,175,75,Russia,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Bronze
Tatyana Sergeyevna Chernova,F,20,189,63,Russia,2008,Summer,Beijing,Athletics,Athletics Women's Heptathlon,Bronze
Tatyana Sergeyevna Chernova,F,24,189,63,Russia,2012,Summer,London,Athletics,Athletics Women's Heptathlon,Bronze
Anna Vladimirovna Chicherova,F,26,180,57,Russia,2008,Summer,Beijing,Athletics,Athletics Women's High Jump,Bronze
Mikhail Alekseyevich Chipurin,M,23,190,105,Russia,2004,Summer,Athina,Handball,Handball Men's Handball,Bronze
Revaz Baadurovich Chomakhidze,M,30,196,101,Russia,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Bronze
Maksim Aleksandrovich Chudov,M,27,169,65,Russia,2010,Winter,Vancouver,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
Anton Mikhaylovich Chupkov,M,19,188,71,Russia,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Pavel Valeryevich Datsyuk,M,23,180,86,Russia,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Aleksey Alekseyevich Denisenko,M,18,185,68,Russia,2012,Summer,London,Taekwondo,Taekwondo Men's Flyweight,Bronze
Stanislav Anatolyevich Dineykin,M,30,215,101,Russia,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Bronze
Denis Sergeyevich Dmitriyev,M,30,177,90,Russia,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Sprint,Bronze
Marina Viktorovna Dobrancheva-Logvinenko,F,34,154,63,Russia,1996,Summer,Atlanta,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Bronze
Dmitry Mikhaylovich Dobroskok,M,24,167,57,Russia,2008,Summer,Beijing,Diving,Diving Men's Synchronized Platform,Bronze
Tea Gayozovna Donguzashvili,F,28,175,109.5,Russia,2004,Summer,Athina,Judo,Judo Women's Heavyweight,Bronze
Oksana Anatolyevna Dorodnova,F,26,178,82,Russia,2000,Summer,Sydney,Rowing,Rowing Women's Quadruple Sculls,Bronze
Vladimir Petrovich Drachov,M,31,170,61,Russia,1998,Winter,Nagano,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Bronze
Dmitry Nikolayevich Drevin,M,18,170,59,Russia,2000,Summer,Sydney,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Vitaly Vladimirovich Dunaytsev,M,24,174,64,Russia,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Welterweight,Bronze
Aleksey Vladimirovich Dyachenko,M,25,180,78,Russia,2004,Summer,Athina,Fencing,"Fencing Men's Sabre, Team",Bronze
Kamil Aliyevich Dzhamaludinov,M,21,167,57,Russia,2000,Summer,Sydney,Boxing,Boxing Men's Featherweight,Bronze
Irina Yuryevna Dzyuba,F,15,168,42,Russia,1996,Summer,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
Stefaniya Aleksandrovna Elfutina,F,19,170,59,Russia,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Windsurfer,Bronze
Aleksandr Sergeyevich Fedorov,M,23,198,92,Russia,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,Bronze
Irina Mikhaylovna Fedotova,F,25,181,74,Russia,2000,Summer,Sydney,Rowing,Rowing Women's Quadruple Sculls,Bronze
Mariya Aleksandrovna Feklistova,F,24,158,53,Russia,2000,Summer,Sydney,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Bronze
Svetlana Yevgenyevna Feofanova,F,28,164,52,Russia,2008,Summer,Beijing,Athletics,Athletics Women's Pole Vault,Bronze
Sergey Vasilyevich Fesikov,M,23,187,72,Russia,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Albina Khamitovna Akhatova,F,29,160,55,Russia,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
Artur Kamilevich Akhmatkhuzin,M,28,187,79,Russia,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Gold
Islam-Beka Said-Tsilimovich Albiyev,M,19,165,66,Russia,2008,Summer,Beijing,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
Sergey Gennadyevich Alifirenko,M,41,168,72,Russia,2000,Summer,Sydney,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Gold
Aleksey Aleksandrovich Alipov,M,29,175,80,Russia,2004,Summer,Athina,Shooting,Shooting Men's Trap,Gold
Margarita Sergeyevna Aliychuk,F,17,174,48,Russia,2008,Summer,Beijing,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Viktor An,M,28,170,65,Russia,2014,Winter,Sochi,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Gold
Viktor An,M,28,170,65,Russia,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Gold
Viktor An,M,28,170,65,Russia,2014,Winter,Sochi,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Gold
Nataliya Nikolayevna Antyukh,F,31,182,69,Russia,2012,Summer,London,Athletics,Athletics Women's 400 metres Hurdles,Gold
Nikolay Sergeyevich Apalikov,M,29,203,105,Russia,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Gold
Yelena Yuryevna Azarova,F,27,165,64,Russia,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Yelena Yuryevna Azarova,F,31,165,64,Russia,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Karina Borisovna Aznavuryan,F,25,170,59,Russia,2000,Summer,Sydney,Fencing,"Fencing Women's epee, Team",Gold
Karina Borisovna Aznavuryan,F,29,170,59,Russia,2004,Summer,Athina,Fencing,"Fencing Women's epee, Team",Gold
Nataliya Ivanovna Baranova (Masolkina-),F,30,172,65,Russia,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
Khasan Makharbekovich Baroyev,M,21,188,120,Russia,2004,Summer,Athina,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Gold
Yuliya Vladimirovna Barsukova (-Samokhin),F,21,168,45,Russia,2000,Summer,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,Gold
Mavlet Alavdinovich Batyrov,M,20,160,60,Russia,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Mavlet Alavdinovich Batyrov,M,24,160,60,Russia,2008,Summer,Beijing,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
Svetlana Valeryevna Bazhanova,F,21,175,70,Russia,1994,Winter,Lillehammer,Speed Skating,"Speed Skating Women's 3,000 metres",Gold
Aleksandr Vladimirovich Beketov,M,26,182,75,Russia,1996,Summer,Atlanta,Fencing,"Fencing Men's epee, Individual",Gold
Irina Olegovna Belova,F,19,175,52,Russia,2000,Summer,Sydney,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Olesya Vladimirovna Belugina,F,20,175,53,Russia,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Dmitry Vladimirovich Berestov,M,24,180,105,Russia,2004,Summer,Athina,Weightlifting,Weightlifting Men's Heavyweight,Gold
Yury Viktorovich Berezhko,M,28,198,97,Russia,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Gold
Vera Leonidovna Biryukova,F,18,168,47,Russia,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Irina Valeryevna Bliznova,F,29,182,68,Russia,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Gold
Anastasiya Ilyinichna Bliznyuk,F,18,173,51,Russia,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Anastasiya Ilyinichna Bliznyuk,F,22,173,51,Russia,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Yekaterina Aleksandrovna Bobrova,F,23,160,49,Russia,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Gold
Vladlena Eduardovna Bobrovnikova,F,28,180,72,Russia,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Gold
Anna Ivanovna Bogaly-Titovets,F,26,167,58,Russia,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
Anna Ivanovna Bogaly-Titovets,F,30,167,58,Russia,2010,Winter,Vancouver,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
Vadim Iosifovich Bogiyev,M,25,170,68,Russia,1996,Summer,Atlanta,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
Valeriy Viktorovich Borchin,M,21,178,63,Russia,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,Gold
Yury Mikhaylovich Borzakovsky,M,23,183,70,Russia,2004,Summer,Athina,Athletics,Athletics Men's 800 metres,Gold
Svetlana Sergeyevna Boyarkina-Zhurova,F,34,176,64,Russia,2006,Winter,Torino,Speed Skating,Speed Skating Women's 500 metres,Gold
Svetlana Anatolyevna Boyko,F,36,180,63,Russia,2008,Summer,Beijing,Fencing,"Fencing Women's Foil, Team",Gold
Olga Aleksandrovna Brusnikina,F,21,169,55,Russia,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
Olga Aleksandrovna Brusnikina,F,21,169,55,Russia,2000,Summer,Sydney,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Olga Aleksandrovna Brusnikina,F,25,169,55,Russia,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Aleksandr Anatolyevich Butko,M,26,198,97,Russia,2012,Summer,London,Volleyball,Volleyball Men's Volleyball,Gold
Rakhim Ruslanovich Chakhkiyev,M,25,183,91,Russia,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,Gold
Davit Gochayevich Chakvetadze,M,23,174,85,Russia,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Andrey Ivanovich Chemerkin,M,24,183,170,Russia,1996,Summer,Atlanta,Weightlifting,Weightlifting Men's Super-Heavyweight,Gold
Yuliya Anatolyevna Chepalova,F,21,164,54,Russia,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Gold
Yuliya Anatolyevna Chepalova,F,25,164,54,Russia,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's Sprint,Gold
Yuliya Anatolyevna Chepalova,F,29,164,54,Russia,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
Sergey Vladimirovich Chepikov,M,27,182,75,Russia,1994,Winter,Lillehammer,Biathlon,Biathlon Men's 10 kilometres Sprint,Gold
Aleksey Borisovich Cheremisinov,M,31,183,75,Russia,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Gold
Yuliya Igorevna Chermoshanskaya,F,22,174,66,Russia,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Anna Vladimirovna Chicherova,F,30,180,57,Russia,2012,Summer,London,Athletics,Athletics Women's High Jump,Gold
Vlada Aleksandrovna Chigiryova,F,21,162,46,Russia,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Olga Valeryevna Danilova,F,27,168,56,Russia,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,Gold
Olga Valeryevna Danilova,F,27,168,56,Russia,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
Anastasiya Semyonovna Davydova,F,21,170,54,Russia,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
Anastasiya Semyonovna Davydova,F,21,170,54,Russia,2004,Summer,Athina,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Anastasiya Semyonovna Davydova,F,25,170,54,Russia,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Duet,Gold
Anastasiya Semyonovna Davydova,F,25,170,54,Russia,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Anastasiya Semyonovna Davydova,F,29,170,54,Russia,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Yevgeny Aleksandrovich Dementyev,M,23,182,77,Russia,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,Gold
Yelena Vyacheslavovna Dementyeva (-Afinogenova),F,26,180,64,Russia,2008,Summer,Beijing,Tennis,Tennis Women's Singles,Gold
Inna Vasilyevna Deriglazova,F,26,173,61,Russia,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Foil, Individual",Gold
Darya Yevgenyevna Dmitriyeva,F,20,178,74,Russia,2016,Summer,Rio de Janeiro,Handball,Handball Women's Handball,Gold
Ulyana Vyacheslavovna Donskova,F,19,176,57,Russia,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Kseniya Pavlovna Dudkina,F,17,173,49,Russia,2012,Summer,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Gold
Aleksandr Igorevich Dyachenko,M,22,180,85,Russia,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Gold
Yekaterina Vladimirovna Dyachenko,F,28,167,53,Russia,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",Gold
Aleksandra Andreyevna Fedoriva,F,19,176,60,Russia,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
Sergey Anatolyevich Fedorovtsev,M,24,195,90,Russia,2004,Summer,Athina,Rowing,Rowing Men's Quadruple Sculls,Gold
Dmitry Rudolfovich Filippov,M,31,187,82,Russia,2000,Summer,Sydney,Handball,Handball Men's Handball,Gold
Mariya Vasilyevna Abakumova (-Tarabina),F,22,179,80,Russia,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
Tamila Rashidovna Abasova,F,21,163,60,Russia,2004,Summer,Athina,Cycling,Cycling Women's Sprint,Silver
Denis Mikhaylovich Ablyazin,M,19,161,62,Russia,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
Denis Mikhaylovich Ablyazin,M,24,161,62,Russia,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
Kseniya Dmitriyevna Afanasyeva,F,20,158,48,Russia,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Silver
Albina Khamitovna Akhatova,F,21,160,55,Russia,1998,Winter,Nagano,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
Bakhtiyar Shakhabutdinovich Akhmedov,M,21,190,120,Russia,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
Khadzhimurat Magomedovich Akkayev,M,19,178,105,Russia,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
Yekaterina Sergeyevna Andryushina,F,22,185,70,Russia,2008,Summer,Beijing,Handball,Handball Women's Handball,Silver
Vladislav Nikolayevich Antonov,M,22,179,80,Russia,2014,Winter,Sochi,Luge,Luge Mixed Team Relay,Silver
Nataliya Nikolayevna Antyukh,F,23,182,69,Russia,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
Nataliya Nikolayevna Antyukh,F,31,182,69,Russia,2012,Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
Yevgeniya Viktorovna Artamonova-Estes,F,25,191,75,Russia,2000,Summer,Sydney,Volleyball,Volleyball Women's Volleyball,Silver
Yevgeniya Viktorovna Artamonova-Estes,F,29,191,75,Russia,2004,Summer,Athina,Volleyball,Volleyball Women's Volleyball,Silver
Apti Khamzatovich Aukhadov,M,19,178,85,Russia,2012,Summer,London,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
Roman Vladimirovich Balashov,M,23,192,96,Russia,2000,Summer,Sydney,Water Polo,Water Polo Men's Water Polo,Silver
Khasan Makharbekovich Baroyev,M,25,188,120,Russia,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",Silver
