Name,Sex,Age,Height,Weight,Team,Year,Season,City,Sport,Event,Medal
David Gavin Dickson,M,23,179,76,Australia,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Kerry Dienelt,F,27,174,65,Australia,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze
Kerry Dienelt,F,31,174,65,Australia,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze
Damon Laurance Diletti,M,25,178,86,Australia,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze
Damon Laurance Diletti,M,29,178,86,Australia,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
Tommaso D'Orsogna,M,21,190,84,Australia,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Peter John Doak,M,20,,,Australia,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
"Benjamin Philip ""Ben"" Dodwell",M,28,200,98,Australia,2000,Summer,Sydney,Rowing,Rowing Men's Coxless Fours,Bronze
Luke Doerner,M,28,192,90,Australia,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
Brian John Doyle,M,26,,,Australia,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Eights,Bronze
Lachlan George Dreher,M,29,175,77,Australia,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze
Lachlan George Dreher,M,33,175,77,Australia,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
Jason Paul Duff,M,27,184,78,Australia,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
Brett Allan Dutton,M,21,180,72,Australia,1988,Summer,Seoul,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
Jamie Raymond Dwyer,M,29,172,68,Australia,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
Jamie Raymond Dwyer,M,33,172,68,Australia,2012,Summer,London,Hockey,Hockey Men's Hockey,Bronze
Sean Patrick Eadie,M,31,183,98,Australia,2000,Summer,Sydney,Cycling,Cycling Men's Team Sprint,Bronze
Peta Louise Edebone,F,27,176,70,Australia,1996,Summer,Atlanta,Softball,Softball Women's Softball,Bronze
Peta Louise Edebone,F,31,176,70,Australia,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze
Annette Edmondson,F,20,171,65,Australia,2012,Summer,London,Cycling,Cycling Women's Omnium,Bronze
Ian Edmunds,M,22,198,94,Australia,1984,Summer,Los Angeles,Rowing,Rowing Men's Coxed Eights,Bronze
Anthony John Edwards,M,23,183,72,Australia,1996,Summer,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Bronze
Troy Elder,M,22,180,84,Australia,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
"James Andrew ""Jimmy"" Elmer",M,29,176,53,Australia,2000,Summer,Sydney,Hockey,Hockey Men's Hockey,Bronze
Lachlan Anthony Elmer,M,27,191,87,Australia,1996,Summer,Atlanta,Hockey,Hockey Men's Hockey,Bronze
Peter Maxwell Evans,M,18,190,77,Australia,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
